file_a,file_b,cochange_count,jaccard
backend/app/main.py,backend/app/routers/ingredientes.py,2,0.400000
backend/app/main.py,backend/app/routers/pedidos.py,2,0.666667
backend/app/main.py,frontend/src/App.tsx,2,1.000000
backend/app/main.py,frontend/src/api/client.ts,2,0.285714
backend/app/routers/ingredientes.py,backend/app/routers/pedidos.py,2,0.333333
backend/app/routers/ingredientes.py,backend/app/routers/publico.py,2,0.400000
backend/app/routers/ingredientes.py,frontend/src/App.tsx,2,0.400000
backend/app/routers/ingredientes.py,frontend/src/api/client.ts,5,0.714286
backend/app/routers/pedidos.py,frontend/src/App.tsx,2,0.666667
backend/app/routers/pedidos.py,frontend/src/api/client.ts,2,0.250000
backend/app/routers/publico.py,frontend/src/api/client.ts,2,0.285714
frontend/src/App.tsx,frontend/src/api/client.ts,2,0.285714
frontend/package.json,frontend/src/components/Layout.tsx,4,0.666667
frontend/package.json,frontend/src/index.css,3,0.500000
frontend/package.json,frontend/vite.config.ts,4,0.666667
frontend/src/components/Layout.tsx,frontend/src/index.css,3,0.750000
frontend/src/components/Layout.tsx,frontend/vite.config.ts,4,1.000000
frontend/src/index.css,frontend/vite.config.ts,3,0.750000
frontend/package.json,frontend/src/pages/Dashboard.tsx,4,0.500000
frontend/package.json,frontend/src/pages/Ingredientes.tsx,3,0.333333
frontend/package.json,frontend/src/pages/ListaCompras.tsx,3,0.500000
frontend/package.json,frontend/src/pages/PedidoDetalhe.tsx,3,0.428571
frontend/package.json,frontend/src/pages/PedidoNovo.tsx,3,0.500000
frontend/package.json,frontend/src/pages/Pedidos.tsx,2,0.285714
frontend/package.json,frontend/src/pages/Produtos.tsx,3,0.500000
frontend/src/components/Layout.tsx,frontend/src/pages/Dashboard.tsx,3,0.428571
frontend/src/components/Layout.tsx,frontend/src/pages/Ingredientes.tsx,3,0.428571
frontend/src/components/Layout.tsx,frontend/src/pages/ListaCompras.tsx,3,0.750000
frontend/src/components/Layout.tsx,frontend/src/pages/PedidoDetalhe.tsx,3,0.600000
frontend/src/components/Layout.tsx,frontend/src/pages/PedidoNovo.tsx,3,0.750000
frontend/src/components/Layout.tsx,frontend/src/pages/Pedidos.tsx,2,0.400000
frontend/src/components/Layout.tsx,frontend/src/pages/Produtos.tsx,3,0.750000
frontend/src/index.css,frontend/src/pages/Dashboard.tsx,2,0.285714
frontend/src/index.css,frontend/src/pages/Ingredientes.tsx,2,0.285714
frontend/src/index.css,frontend/src/pages/ListaCompras.tsx,2,0.500000
frontend/src/index.css,frontend/src/pages/PedidoDetalhe.tsx,2,0.400000
frontend/src/index.css,frontend/src/pages/PedidoNovo.tsx,2,0.500000
frontend/src/index.css,frontend/src/pages/Pedidos.tsx,2,0.500000
frontend/src/index.css,frontend/src/pages/Produtos.tsx,2,0.500000
frontend/src/pages/Dashboard.tsx,frontend/src/pages/Ingredientes.tsx,5,0.714286
frontend/src/pages/Dashboard.tsx,frontend/src/pages/ListaCompras.tsx,3,0.500000
frontend/src/pages/Dashboard.tsx,frontend/src/pages/PedidoDetalhe.tsx,3,0.428571
frontend/src/pages/Dashboard.tsx,frontend/src/pages/PedidoNovo.tsx,3,0.500000
frontend/src/pages/Dashboard.tsx,frontend/src/pages/Pedidos.tsx,2,0.285714
frontend/src/pages/Dashboard.tsx,frontend/src/pages/Produtos.tsx,3,0.500000
frontend/src/pages/Dashboard.tsx,frontend/vite.config.ts,3,0.428571
frontend/src/pages/Ingredientes.tsx,frontend/src/pages/ListaCompras.tsx,3,0.500000
frontend/src/pages/Ingredientes.tsx,frontend/src/pages/PedidoDetalhe.tsx,3,0.428571
frontend/src/pages/Ingredientes.tsx,frontend/src/pages/PedidoNovo.tsx,3,0.500000
frontend/src/pages/Ingredientes.tsx,frontend/src/pages/Pedidos.tsx,2,0.285714
frontend/src/pages/Ingredientes.tsx,frontend/src/pages/Produtos.tsx,3,0.500000
frontend/src/pages/Ingredientes.tsx,frontend/vite.config.ts,3,0.428571
